日付,始値,高値,安値,終値,出来高,調整後終値
2022/1/28,114400,116000,113400,114400,1072,114400
2022/1/27,115100,115600,112100,115600,1886,115600
2022/1/26,113000,114700,112200,114100,1166,114100
2022/1/25,115200,115200,110500,111700,2051,111700
2022/1/24,112800,114900,111300,114100,2137,114100
2022/1/21,113000,114900,110100,113600,4562,113600
2022/1/20,116400,117300,113400,113400,3998,113400
2022/1/19,120300,121000,116600,116800,2072,116800
2022/1/18,122300,122900,120900,121400,2297,121400
2022/1/17,123000,123500,121900,122300,1294,122300
2022/1/14,123300,123800,122200,123000,1475,123000
2022/1/13,124000,124600,122800,123300,2816,123300
2022/1/12,121700,124100,121600,123500,3352,123500
2022/1/11,119900,121800,119700,121700,1619,121700
2022/1/7,119700,120900,119400,119600,1703,119600
2022/1/6,120500,121300,119900,120500,1336,120500
2022/1/5,121100,121900,120400,120500,1574,120500
2022/1/4,120200,121100,118900,120600,1471,120600
2021/12/30,118200,119700,118000,119500,2462,119500
2021/12/29,117900,118900,117500,118400,1502,118400
2021/12/28,116400,116900,116200,116500,827,116500
2021/12/27,117000,117100,116200,116500,418,116500
2021/12/24,118500,118700,116900,117000,971,117000
2021/12/23,116300,117200,115900,117200,999,117200
2021/12/22,116000,117100,115700,116000,2115,116000
2021/12/21,117000,117000,115200,116000,3155,116000
2021/12/20,118100,118100,114200,114500,2768,114500
2021/12/17,118200,118600,116200,118000,21601,118000
2021/12/16,120800,120800,118000,118600,3935,118600
2021/12/15,121300,121300,120100,120400,1903,120400
2021/12/14,123600,123700,120800,121700,2882,121700
2021/12/13,125800,127900,124000,124600,2767,124600
2021/12/10,124400,125400,124000,124800,2790,124800
2021/12/9,123200,124800,122500,124200,2313,124200
2021/12/8,123000,123900,121500,123300,2559,123300
2021/12/7,124500,125100,123700,123700,2127,123700
2021/12/6,125200,128100,122900,123900,4020,123900
2021/12/3,123200,125900,122700,123800,3593,123800
2021/12/2,123400,125800,123000,123200,3443,123200
2021/12/1,124100,125500,123300,123400,2619,123400
2021/11/30,128000,128200,124100,124100,3037,124100
2021/11/29,127300,127300,123600,124700,2665,124700
2021/11/26,127100,127700,126100,127600,2679,127600
2021/11/25,124000,130400,124000,128400,10268,128400
2021/11/24,122500,123300,121900,123200,837,123200
2021/11/22,123500,124200,123100,123100,546,123100
2021/11/19,123400,123900,122600,123400,419,123400
2021/11/18,123200,124000,122500,124000,509,124000
2021/11/17,124300,124700,123300,123300,778,123300
2021/11/16,122400,124400,122400,124300,804,124300
2021/11/15,123300,123800,122600,122800,733,122800
2021/11/12,121900,123200,121900,122700,662,122700
2021/11/11,122800,122800,121600,121700,487,121700
2021/11/10,122400,122600,121400,122500,835,122500
2021/11/9,124100,124200,122400,122900,845,122900
2021/11/8,123900,125700,123600,124800,1348,124800
2021/11/5,123100,124700,123000,124400,954,124400
2021/11/4,123700,124000,123000,123400,614,123400
2021/11/2,122600,124200,122300,124100,527,124100
2021/11/1,123900,124000,122000,122000,892,122000
2021/10/29,122300,125000,121100,125000,2340,125000
2021/10/28,123000,123000,121500,122800,783,122800
2021/10/27,122700,123700,122600,123700,874,123700
2021/10/26,120900,122700,120400,122700,726,122700
2021/10/25,119000,122000,119000,121200,738,121200
2021/10/22,120800,121200,119800,120500,804,120500
2021/10/21,121000,121700,120500,120800,443,120800
2021/10/20,121900,122200,120800,120900,489,120900
2021/10/19,122200,123000,121100,122400,931,122400
2021/10/18,122800,123000,120500,122900,1100,122900
2021/10/15,121700,122800,121400,122500,417,122500
2021/10/14,122700,122700,120600,121400,784,121400
2021/10/13,121700,122700,121500,122700,859,122700
2021/10/12,120000,121400,120000,120900,898,120900
2021/10/11,120700,120700,119000,120500,1070,120500
2021/10/8,120600,120700,119400,119400,808,119400
2021/10/7,120600,121000,119600,121000,1037,121000
2021/10/6,121700,121800,118800,120600,1112,120600
2021/10/5,119000,121900,117100,121000,2193,121000
2021/10/4,120800,121400,118400,119600,1264,119600
2021/10/1,122200,122500,119100,119100,2205,119100
2021/9/30,123800,124600,122000,122000,1607,122000
2021/9/29,125000,126300,123200,124600,902,124600
2021/9/28,125000,126100,123100,125700,1343,125700
2021/9/27,122800,125300,122700,124600,1385,124600
2021/9/24,123100,124100,122700,122700,1207,122700
2021/9/22,124900,125200,122300,122700,1730,122700
2021/9/21,124000,124900,123600,124600,1196,124600
2021/9/17,126500,126500,125100,125700,977,125700
2021/9/16,126700,127500,125500,126300,1159,126300
2021/9/15,128600,128700,126600,126800,1828,126800
2021/9/14,127300,130300,127300,129500,2536,129500
2021/9/13,126900,129000,126800,128100,2483,128100
2021/9/10,128000,128800,126100,127700,3639,127700
2021/9/9,126400,127800,125800,127400,2830,127400
