日付,始値,高値,安値,終値,出来高,調整後終値
2022/1/28,47950,48450,47400,48300,6127,48300
2022/1/27,47900,48250,46900,48250,9272,48250
2022/1/26,47150,47800,46800,47600,6174,47600
2022/1/25,47400,47650,46250,46650,9673,46650
2022/1/24,47000,47650,46550,47400,8747,47400
2022/1/21,46600,47300,45050,47100,19994,47100
2022/1/20,48450,48650,46950,46950,23830,46950
2022/1/19,50000,50000,48300,48400,14088,48400
2022/1/18,50500,51000,49750,50000,8383,50000
2022/1/17,50300,50800,50200,50300,7051,50300
2022/1/14,50100,50500,49800,50300,5787,50300
2022/1/13,50500,50700,50000,50100,8974,50100
2022/1/12,49450,50400,49450,50300,9269,50300
2022/1/11,49800,50200,49350,49600,7413,49600
2022/1/7,49500,50100,49350,49600,7685,49600
2022/1/6,49750,50100,49050,49350,7309,49350
2022/1/5,49950,50500,49750,49900,12518,49900
2022/1/4,49600,49900,48900,49800,8792,49800
2021/12/30,49600,49850,49150,49450,6980,49450
2021/12/29,48800,49700,48800,49700,8970,49700
2021/12/28,47900,48700,47900,48450,14374,48450
2021/12/27,48150,48500,47800,47900,50987,47900
2021/12/24,48100,48750,48050,48450,42493,48450
2021/12/23,47850,48450,47650,48100,16227,48100
2021/12/22,47900,48450,47700,47700,19305,47700
2021/12/21,47950,48350,47700,47850,30478,47850
2021/12/20,50300,50300,48450,48450,22946,48450
2021/12/17,49000,50900,48700,50900,86113,50900
2021/12/16,49050,49400,48600,49100,12955,49100
2021/12/15,48900,49550,48550,48950,11455,48950
2021/12/14,52000,52000,48700,48700,31481,48700
2021/12/13,53500,54000,53100,53100,6865,53100
2021/12/10,54100,54100,53000,53700,11451,53700
2021/12/9,53900,54100,53500,53800,8291,53800
2021/12/8,53800,54000,53200,53800,8883,53800
2021/12/7,53200,54100,53200,54000,7867,54000
2021/12/6,53700,54300,52900,53600,13955,53600
2021/12/3,53600,54300,53100,53500,12056,53500
2021/12/2,53900,54100,52600,52600,11485,52600
2021/12/1,53000,54400,53000,53400,10103,53400
2021/11/30,54300,55200,53100,53200,12125,53200
2021/11/29,54700,55000,53300,53800,10053,53800
2021/11/26,55100,55900,54500,55700,11587,55700
2021/11/25,54000,56200,53900,56100,34433,56100
2021/11/24,51900,52000,51500,51800,3398,51800
2021/11/22,51100,51800,51100,51800,2336,51800
2021/11/19,51500,51600,51100,51300,4061,51300
2021/11/18,52000,52000,51200,51400,2826,51400
2021/11/17,51700,52000,51200,51300,3357,51300
2021/11/16,51800,52100,51600,52100,2007,52100
2021/11/15,51500,51800,51300,51500,2812,51500
2021/11/12,51800,52100,51400,51400,2931,51400
2021/11/11,51800,52000,51300,51600,3470,51600
2021/11/10,51600,51800,50900,51300,5935,51300
2021/11/9,52500,52500,51600,51600,3289,51600
2021/11/8,51800,52500,51300,52500,8292,52500
2021/11/5,51400,51800,51100,51700,4425,51700
2021/11/4,51900,52100,51200,51400,8082,51400
2021/11/2,52700,52700,51800,51900,5879,51900
2021/11/1,52500,52700,52000,52000,3887,52000
2021/10/29,51800,52800,51800,52700,10040,52700
2021/10/28,52400,52500,51700,52100,14149,52100
2021/10/27,53300,53900,53300,53400,15292,53400
2021/10/26,53500,53800,53200,53600,4587,53600
2021/10/25,53200,54300,53200,53500,5973,53500
2021/10/22,54000,54200,53200,53300,4070,53300
2021/10/21,54800,55000,54100,54100,2735,54100
2021/10/20,54500,54900,54200,54800,4061,54800
2021/10/19,55000,55000,54200,54800,4097,54800
2021/10/18,54600,55000,54200,55000,5891,55000
2021/10/15,54700,54900,54200,54600,2060,54600
2021/10/14,54900,55300,54000,54300,5222,54300
2021/10/13,54200,55000,54000,55000,5992,55000
2021/10/12,53900,54400,53700,54200,4708,54200
2021/10/11,53100,53900,52700,53900,4725,53900
2021/10/8,53000,54000,53000,53100,5288,53100
2021/10/7,53000,53700,53000,53500,5826,53500
2021/10/6,53700,53900,52000,53000,7247,53000
2021/10/5,52900,53900,51700,53700,7088,53700
2021/10/4,53200,53900,52900,53400,4474,53400
2021/10/1,53900,54200,53000,53000,8959,53000
2021/9/30,55500,55900,53800,53900,10362,53900
2021/9/29,55400,55600,54700,54800,6069,54800
2021/9/28,54800,55500,54500,55400,4146,55400
2021/9/27,54500,55300,54500,55300,4717,55300
2021/9/24,54500,55300,54500,54500,7390,54500
2021/9/22,54800,55400,54400,54500,7670,54500
2021/9/21,54000,55200,54000,54900,5562,54900
2021/9/17,54900,55400,54800,55000,5801,55000
2021/9/16,54700,55200,54200,54900,5276,54900
2021/9/15,55200,55300,54400,54400,4544,54400
2021/9/14,55000,55300,54800,55200,3737,55200
2021/9/13,54700,55300,54300,55100,5183,55100
2021/9/10,55000,55000,54300,54700,6000,54700
2021/9/9,53900,54300,53800,54300,4467,54300
2021/9/8,53000,53900,52900,53900,6370,53900
2021/9/7,54000,54400,53400,53400,6589,53400
2021/9/6,54200,54700,53600,53900,5140,53900
2021/9/3,54500,54500,53500,53600,6718,53600
2021/9/2,56000,56200,53800,53900,16226,53900
2021/9/1,56400,57000,56300,56300,7346,56300
2021/8/31,57000,57300,56000,56100,7709,56100
2021/8/30,55700,56900,55500,56900,7246,56900
2021/8/27,53900,55700,53800,55700,6268,55700
2021/8/26,53300,53800,53000,53800,6002,53800
2021/8/25,53500,53900,53100,53500,3394,53500
2021/8/24,53300,54200,53300,53500,7036,53500
2021/8/23,53700,54300,53400,53400,5782,53400
2021/8/20,54000,54600,53600,54000,6650,54000
2021/8/19,53900,54700,53700,54100,6327,54100
2021/8/18,53600,54700,53600,54500,4419,54500
2021/8/17,54100,54300,53600,53600,3905,53600
2021/8/16,54500,54700,53000,54000,9481,54000
2021/8/13,55100,55700,54700,54700,3564,54700
2021/8/12,56000,56000,55300,55700,3777,55700
2021/8/11,55000,55800,54900,55300,3223,55300
2021/8/10,55100,56000,54700,54700,3480,54700
2021/8/6,55900,56100,55200,55200,3873,55200
2021/8/5,54200,56300,54200,56100,5948,56100
2021/8/4,55000,55300,54400,54400,4213,54400
2021/8/3,56100,56200,54900,55100,6642,55100
2021/8/2,56300,56800,56000,56300,6705,56300
2021/7/30,57800,57900,56200,56400,9309,56400
2021/7/29,57600,58500,57000,58500,21808,58500
2021/7/28,56600,57700,56600,57700,7452,57700
2021/7/27,57000,57200,56700,56900,5072,56900
2021/7/26,56400,56900,56200,56400,5646,56400
2021/7/21,56100,56700,56100,56200,7593,56200
2021/7/20,56000,56200,55400,55400,9121,55400
2021/7/19,57700,57900,56400,56500,10389,56500
2021/7/16,56900,57700,56700,57700,7134,57700
2021/7/15,56700,57400,56700,57100,9089,57100
2021/7/14,55600,56800,55500,56700,8564,56700
2021/7/13,56200,57400,55800,55800,12224,55800
2021/7/12,54900,55800,54700,55700,10297,55700
2021/7/9,54600,55000,53700,54300,14655,54300
2021/7/8,55000,55500,54100,55000,12714,55000
2021/7/7,54800,55100,54500,54600,13991,54600
2021/7/6,55100,55400,54200,55000,18051,55000
2021/7/5,53800,55600,53600,55400,22050,55400
2021/7/2,52500,53800,52400,53500,12775,53500
2021/7/1,52000,52500,51700,52100,8209,52100
2021/6/30,52100,52100,51500,51900,4511,51900
2021/6/29,51900,52100,51600,52000,3932,52000
2021/6/28,51700,52000,51400,52000,4090,52000
2021/6/25,51100,52200,51000,51200,7403,51200
2021/6/24,50700,51200,50600,50900,5048,50900
2021/6/23,50700,51300,50400,50800,4524,50800
2021/6/22,50400,50900,50300,50300,6258,50300
2021/6/21,49500,50200,49300,50200,9232,50200
2021/6/18,50200,50700,49700,49950,18715,49950
2021/6/17,51000,51400,50200,50200,7573,50200
2021/6/16,51200,51600,51000,51000,4741,51000
2021/6/15,52000,52200,51200,51300,6276,51300
2021/6/14,52000,52200,51600,51900,3324,51900
2021/6/11,52200,52600,51700,52000,8518,52000
2021/6/10,51700,52200,51700,52000,4550,52000
2021/6/9,51800,52400,51400,51800,8642,51800
2021/6/8,51500,52000,51500,51900,6527,51900
2021/6/7,51100,51400,50600,51400,6097,51400
2021/6/4,51100,51100,50600,50900,4127,50900
2021/6/3,50500,51200,50400,51100,7630,51100
2021/6/2,50000,50500,49900,50300,7930,50300
2021/6/1,49850,50000,49650,49850,4229,49850
2021/5/31,49450,49800,49100,49800,4473,49800
2021/5/28,49900,50000,49150,49200,8586,49200
2021/5/27,49100,49850,49100,49800,12869,49800
2021/5/26,49600,49750,49200,49450,11667,49450
2021/5/25,50000,50100,49600,49950,5380,49950
2021/5/24,49500,49950,49450,49950,4761,49950
2021/5/21,49250,49650,49100,49450,5861,49450
2021/5/20,48750,49350,48650,49250,6722,49250
2021/5/19,48700,49000,48300,49000,7721,49000
2021/5/18,48600,48800,48350,48650,5341,48650
2021/5/17,48100,48400,47750,48150,5383,48150
2021/5/14,47400,48450,47400,47550,10564,47550
2021/5/13,48100,48400,47300,47400,10000,47400
2021/5/12,48950,49100,48200,48700,6447,48700
2021/5/11,48900,49150,48700,49150,4089,49150
2021/5/10,49000,49400,48700,49200,4884,49200
2021/5/7,49100,49450,48750,48750,5882,48750
2021/5/6,49000,49750,48950,49350,5793,49350
2021/4/30,48200,49100,48200,49100,12107,49100
2021/4/28,48150,48400,47900,48050,21192,48050
2021/4/27,49950,50300,49500,49500,24153,49500
2021/4/26,50000,50800,49950,49950,6590,49950
2021/4/23,50000,50100,49550,49800,5970,49800
2021/4/22,49850,50200,49650,50100,4892,50100
2021/4/21,50100,50200,49300,49650,9115,49650
2021/4/20,50800,50800,50300,50300,6995,50300
2021/4/19,50900,51300,50500,50500,5895,50500
2021/4/16,51100,51200,50500,50900,4975,50900
2021/4/15,51500,51800,50500,50500,7514,50500
2021/4/14,50500,51600,50400,51400,6610,51400
2021/4/13,51400,51800,50400,50500,9827,50500
2021/4/12,52100,52300,51100,51500,8758,51500
2021/4/9,53000,53900,52200,52400,14129,52400
2021/4/8,53600,54300,53300,53300,16158,53300
2021/4/7,51800,54000,51800,53500,21898,53500
2021/4/6,50800,52100,50700,51800,21831,51800
2021/4/5,48400,50900,48350,50500,26650,50500
2021/4/2,48000,48350,47650,47900,7727,47900
2021/4/1,48150,48450,47600,47750,10423,47750
2021/3/31,48600,48750,48000,48050,12428,48050
2021/3/30,47700,48800,47700,48400,7704,48400
2021/3/29,48700,48800,47500,47900,9838,47900
2021/3/26,47300,48700,47200,48700,13900,48700
2021/3/25,46350,47200,46350,46750,6682,46750
2021/3/24,46850,47100,46100,46250,10124,46250
2021/3/23,46950,47650,46850,46850,5794,46850
2021/3/22,47450,47500,46850,46950,6945,46950
2021/3/19,47550,48300,47500,47600,18077,47600
2021/3/18,47300,47850,47150,47700,11126,47700
2021/3/17,46400,47100,46300,46600,14125,46600
2021/3/16,46000,46300,45750,46100,11133,46100
2021/3/15,45800,46150,45200,45750,6722,45750
2021/3/12,45450,45500,44900,45500,7933,45500
2021/3/11,44400,45100,44200,45050,6565,45050
2021/3/10,44000,44400,43950,44150,4664,44150
2021/3/9,44500,44800,43850,43950,9223,43950
2021/3/8,44400,44950,43850,44150,9599,44150
2021/3/5,44250,44250,42950,43800,11835,43800
2021/3/4,44350,44750,43650,44350,7056,44350
2021/3/3,45000,45350,44200,44600,6982,44600
2021/3/2,45500,46100,44650,44750,11165,44750
2021/3/1,45100,46000,44950,45350,7461,45350
2021/2/26,45350,45550,44250,44700,15704,44700
2021/2/25,46250,46500,45650,45950,6910,45950
2021/2/24,44850,46300,44850,45850,11776,45850
2021/2/22,44700,45500,44650,44650,7839,44650
2021/2/19,43900,44750,43750,44500,8421,44500
2021/2/18,45300,45700,44300,44300,12318,44300
2021/2/17,46600,46900,45300,45500,14191,45500
2021/2/16,45550,46700,45550,46600,10044,46600
2021/2/15,45650,45900,45200,45450,9837,45450
2021/2/12,44750,45500,44550,45450,12453,45450
2021/2/10,43350,44750,43200,44700,14216,44700
2021/2/9,43300,43350,42650,43150,7945,43150
2021/2/8,42800,43400,42600,43000,7902,43000
2021/2/5,41700,42850,41700,42550,8652,42550
2021/2/4,41050,41700,41000,41700,8950,41700
2021/2/3,40650,41250,40450,41050,9149,41050
2021/2/2,40850,41050,40350,40400,7190,40400
2021/2/1,41000,41100,40450,40650,7432,40650
2021/1/29,40450,41100,40300,40800,9582,40800
2021/1/28,39850,40450,39700,40300,9828,40300
2021/1/27,40000,40250,39900,40100,5831,40100
2021/1/26,40150,40250,39850,39900,5970,39900
2021/1/25,40150,40500,39950,39950,9093,39950
2021/1/22,39900,40150,39750,40050,6997,40050
