日付,始値,高値,安値,終値,出来高,調整後終値
2022/10/5,119800,119800,118500,119000,461,119000
2022/10/4,119000,120300,118800,119400,483,119400
2022/10/3,119800,119800,117600,118700,685,118700
2022/9/30,118000,119300,117000,119300,815,119300
2022/9/29,116800,119100,116800,118200,774,118200
2022/9/28,118800,119400,115800,116400,1618,116400
2022/9/27,118700,120000,118300,118800,702,118800
2022/9/26,120500,120500,118400,118700,865,118700
2022/9/22,119500,120700,119300,120500,274,120500
2022/9/21,119200,120300,118600,119700,724,119700
2022/9/20,121500,122100,119100,119100,1303,119100
2022/9/16,123000,123000,121500,121500,581,121500
2022/9/15,122500,123500,122400,122900,574,122900
2022/9/14,123100,123400,122500,122500,455,122500
2022/9/13,123300,123400,122800,123400,237,123400
2022/9/12,123500,123600,123100,123300,270,123300
2022/9/9,123900,123900,122700,123200,490,123200
2022/9/8,123000,124400,122800,123000,512,123000
2022/9/7,123000,123500,122700,123000,388,123000
2022/9/6,123200,123800,123000,123000,141,123000
2022/9/5,122700,123700,122700,123200,172,123200
2022/9/2,122700,123200,122600,122600,182,122600
2022/9/1,123400,123900,122600,122600,593,122600
2022/8/31,124000,124000,122600,122700,645,122700
2022/8/30,124400,125400,123400,123800,809,123800
2022/8/29,124100,124700,123300,123700,763,123700
2022/8/26,124100,124300,123400,124300,351,124300
2022/8/25,124100,124100,123500,123500,190,123500
2022/8/24,123700,124400,123300,123300,445,123300
2022/8/23,124000,124800,123100,123500,769,123500
2022/8/22,124100,124300,123300,124300,324,124300
2022/8/19,123600,124400,123600,124100,495,124100
2022/8/18,123500,124000,122700,124000,383,124000
2022/8/17,123500,123700,122800,122900,432,122900
2022/8/16,123200,123600,122700,123500,352,123500
2022/8/15,123000,123300,122100,123300,290,123300
2022/8/12,122500,122900,122100,122100,543,122100
2022/8/10,123500,123700,122500,122500,1006,122500
2022/8/9,124000,124300,123500,123600,417,123600
2022/8/8,123200,124400,123200,124400,325,124400
2022/8/5,123900,124300,123400,123600,525,123600
2022/8/4,123000,124600,123000,124400,353,124400
2022/8/3,122800,123900,122300,123400,535,123400
2022/8/2,123800,124100,122400,123400,1246,123400
2022/8/1,125000,125000,123100,124300,1896,124300
2022/7/29,124600,125700,123700,125000,2445,125000
2022/7/28,122200,126600,121100,124600,14859,124600
2022/7/27,125200,126500,124700,126100,2615,126100
2022/7/26,125000,125400,124300,125200,1533,125200
2022/7/25,124800,125500,124200,124600,1061,124600
2022/7/22,124900,125000,124100,124100,1105,124100
2022/7/21,123800,125300,123800,124000,958,124000
2022/7/20,124800,125500,123500,123800,1447,123800
2022/7/19,124900,125300,123600,124700,1325,124700
2022/7/15,123800,124500,122700,123900,1122,123900
2022/7/14,123600,124000,122600,123000,1060,123000
