日付,始値,高値,安値,終値,出来高,調整後終値
2022/10/5,161200,162400,159400,161800,11411,161800
2022/10/4,162200,162800,160600,161500,8111,161500
2022/10/3,161000,161600,158100,160800,10242,160800
2022/9/30,156700,160600,155700,160100,21119,160100
2022/9/29,160100,161500,157300,157600,17976,157600
2022/9/28,157600,159100,156100,157900,23183,157900
2022/9/27,160100,161000,157200,158200,18501,158200
2022/9/26,164000,164400,160100,160100,13710,160100
2022/9/22,165300,166000,163500,164800,10076,164800
2022/9/21,164900,166100,164600,165300,9875,165300
2022/9/20,166100,166100,164100,164300,7451,164300
2022/9/16,164200,166800,163500,166300,18610,166300
2022/9/15,165900,166000,163500,164100,12248,164100
2022/9/14,167600,167700,165800,166000,7567,166000
2022/9/13,167900,168200,166900,167600,6952,167600
2022/9/12,167300,168200,166400,167700,6294,167700
2022/9/9,164400,167200,164400,166500,12817,166500
2022/9/8,167900,167900,165500,165600,8503,165600
2022/9/7,165400,168500,165000,167500,11911,167500
2022/9/6,167500,167900,164900,165200,7191,165200
2022/9/5,165900,168400,165800,167400,4763,167400
2022/9/2,168700,169300,165700,165800,8007,165800
2022/9/1,170100,170100,167500,167500,9318,167500
2022/8/31,171600,172100,169300,169900,15567,169900
2022/8/30,169100,172000,168900,171500,10297,171500
2022/8/29,172100,173800,170600,173000,19289,173000
2022/8/26,172800,173400,172300,173100,7889,173100
2022/8/25,172700,173100,171600,172100,8807,172100
2022/8/24,171600,172800,171500,171700,10476,171700
2022/8/23,173500,173600,171900,171900,13590,171900
2022/8/22,172800,174700,171800,173700,13520,173700
2022/8/19,175300,175300,172700,172700,11866,172700
2022/8/18,175600,175900,174400,175000,10403,175000
2022/8/17,178200,178300,176700,177400,8885,177400
2022/8/16,176500,178400,175800,178400,9322,178400
2022/8/15,175900,176100,174400,176100,8860,176100
2022/8/12,176800,177000,173300,174400,10419,174400
2022/8/10,175900,176100,173000,173400,14281,173400
2022/8/9,174800,175100,173700,174500,8470,174500
2022/8/8,174600,175200,172800,174800,6571,174800
2022/8/5,176200,176200,173600,174800,9443,174800
