日付,始値,高値,安値,終値,出来高,調整後終値
2021/9/22,295700,298200,294000,294700,2433,294700
2021/9/21,297500,298000,293300,294100,2498,294100
2021/9/17,299700,300000,297600,298500,2807,298500
2021/9/16,300000,301000,298000,301000,2644,301000
2021/9/15,301500,302500,299000,299700,2479,299700
2021/9/14,299500,302000,299000,300000,1982,300000
2021/9/13,298500,300500,297500,298800,2238,298800
2021/9/10,296400,298500,296400,297000,2171,297000
2021/9/9,297600,299200,296600,296700,1611,296700
2021/9/8,297000,299700,296300,298000,1887,298000
2021/9/7,299100,299200,296300,297600,2033,297600
2021/9/6,301000,301000,298100,299800,1114,299800
2021/9/3,297700,301000,296700,298400,1566,298400
2021/9/2,296900,297700,295300,297700,2114,297700
2021/9/1,297400,299400,296900,297100,1983,297100
2021/8/31,303500,304000,296800,297100,4273,297100
2021/8/30,303000,306500,301000,304000,2261,304000
2021/8/27,296800,305500,295700,305500,3856,305500
2021/8/26,292000,296900,292000,296900,2654,296900
2021/8/25,292900,295000,290500,292000,1573,292000
2021/8/24,292600,295400,292600,293600,2069,293600
2021/8/23,293000,295100,291700,291700,2427,291700
2021/8/20,295000,295300,290800,294000,1748,294000
2021/8/19,295900,296100,292900,293100,1515,293100
2021/8/18,292500,297500,292400,297400,1962,297400
2021/8/17,295300,295600,292900,292900,1504,292900
2021/8/16,295600,297200,292400,293500,1637,293500
2021/8/13,293800,294900,291100,292200,1141,292200
2021/8/12,290100,293000,290100,292700,1175,292700
2021/8/11,293500,293600,289100,289900,1542,289900
2021/8/10,297300,297900,290000,290000,2717,290000
2021/8/6,299500,300000,294200,294500,2630,294500
2021/8/5,301500,303000,298400,299500,3237,299500
2021/8/4,298700,299300,297200,297900,1392,297900
2021/8/3,302000,302500,297600,298500,2142,298500
2021/8/2,304000,305000,300500,300500,1497,300500
2021/7/30,303000,305000,301000,304000,2451,304000
2021/7/29,301500,304500,301500,302500,3077,302500
2021/7/28,302000,306000,300000,304500,1863,304500
2021/7/27,299900,302500,297800,302500,1436,302500
2021/7/26,299000,300000,296700,298000,1876,298000
2021/7/21,297100,298400,296800,297600,1349,297600
2021/7/20,297800,298000,294000,295000,2798,295000
2021/7/19,301000,302000,298100,298100,1912,298100
