日付,始値,高値,安値,終値,出来高,調整後終値
2021/9/22,90900,91500,90100,90100,958,90100
2021/9/21,91400,92000,90700,91500,793,91500
2021/9/17,91100,92500,91000,92500,939,92500
2021/9/16,92400,92400,90500,91100,660,91100
2021/9/15,92600,93300,91400,91400,955,91400
2021/9/14,92200,93300,91300,93100,763,93100
2021/9/13,90900,92800,90900,92200,777,92200
2021/9/10,91200,92200,91000,91000,500,91000
2021/9/9,91300,91900,91300,91400,322,91400
2021/9/8,92500,92500,91200,91900,1425,91900
2021/9/7,93600,93900,92700,92700,1336,92700
2021/9/6,93500,94200,93400,93600,2668,93600
2021/9/3,91100,93500,91100,92500,2238,92500
2021/9/2,92700,93200,91600,91600,1258,91600
2021/9/1,92900,92900,91100,91200,1418,91200
2021/8/31,94300,94900,91800,92000,1463,92000
2021/8/30,91200,93600,91200,93600,1535,93600
2021/8/27,90900,91900,90200,91600,1411,91600
2021/8/26,87800,90900,87800,90600,1913,90600
2021/8/25,86500,87900,86500,87000,811,87000
2021/8/24,85600,87500,85300,86300,1393,86300
2021/8/23,85600,86100,84600,84600,1312,84600
2021/8/20,86500,86800,85200,85700,1301,85700
2021/8/19,87000,87700,86500,86500,916,86500
2021/8/18,86600,88500,86200,88000,1211,88000
2021/8/17,88500,89100,86500,86500,961,86500
2021/8/16,88300,88500,87200,88500,983,88500
2021/8/13,88400,88600,87400,88300,502,88300
2021/8/12,88400,88600,87200,88100,831,88100
2021/8/11,87200,88900,87000,88000,960,88000
2021/8/10,86000,87400,86000,86900,991,86900
2021/8/6,88000,88000,86200,86300,1205,86300
2021/8/5,86900,88500,86600,88000,1611,88000
2021/8/4,87200,87600,86400,86900,929,86900
2021/8/3,89600,89600,87000,87300,1157,87300
2021/8/2,90700,90800,89700,89700,1149,89700
2021/7/30,91000,91500,89700,91200,940,91200
2021/7/29,90800,92300,90400,90400,4286,90400
2021/7/28,91200,91800,90500,91800,891,91800
2021/7/27,90600,92100,90500,91100,903,91100
2021/7/26,92000,92000,90600,90700,1196,90700
2021/7/21,91700,92400,90800,91200,1247,91200
2021/7/20,92000,92400,90900,91400,1771,91400
2021/7/19,95000,95300,93000,93000,1853,93000
2021/7/16,95800,96500,95000,95800,726,95800
2021/7/15,96600,97000,95600,95900,598,95900
2021/7/14,96300,97100,95800,96300,765,96300
2021/7/13,97400,97500,95800,96300,1406,96300
2021/7/12,97900,98000,96700,97000,1237,97000
2021/7/9,97500,97800,96200,97800,1361,97800
2021/7/8,97500,99200,97500,97800,889,97800
2021/7/7,98300,98700,97600,97600,488,97600
2021/7/6,98300,99100,97800,98400,1228,98400
2021/7/5,98500,99400,97800,98500,933,98500
2021/7/2,95700,98300,95700,98200,1214,98200
2021/7/1,96700,97200,95200,95400,1056,95400
2021/6/30,97100,97500,95900,96700,962,96700
2021/6/29,98000,98000,96600,97100,864,97100
2021/6/28,98300,98500,96800,97600,1085,97600
2021/6/25,96800,98400,96700,97200,896,97200
2021/6/24,98700,98800,96800,96800,968,96800
2021/6/23,98700,100000,97600,97600,878,97600
2021/6/22,100000,100500,98800,98900,1678,98900
2021/6/21,97000,98900,96700,98900,1562,98900
2021/6/18,98300,99800,97200,97800,1743,97800
2021/6/17,100300,101600,98400,98600,2027,98600
2021/6/16,102400,102500,99600,99700,1741,99700
2021/6/15,102600,103700,101200,101700,1485,101700
2021/6/14,101900,103600,101900,102800,1020,102800
2021/6/11,102200,103800,101000,101400,2497,101400
2021/6/10,103500,104800,101600,102600,3479,102600
2021/6/9,97800,102800,97800,102500,3205,102500
2021/6/8,94200,97600,94200,96900,2483,96900
2021/6/7,93800,94300,93300,94200,1331,94200
2021/6/4,92800,93800,91900,93100,1994,93100
2021/6/3,90500,93200,90500,92800,2720,92800
2021/6/2,88800,90800,88200,90400,2092,90400
2021/6/1,89300,89300,87600,87800,1097,87800
2021/5/31,89200,89500,88200,88900,1026,88900
2021/5/28,88700,89300,88000,89200,952,89200
2021/5/27,89100,89200,87500,87900,1235,87900
2021/5/26,88400,89300,88200,89100,821,89100
2021/5/25,89900,90000,88500,88900,767,88900
2021/5/24,89300,89900,88700,89500,956,89500
2021/5/21,89700,91200,89100,89400,1600,89400
2021/5/20,87200,89400,87000,89400,1535,89400
2021/5/19,87400,88000,86800,87900,1096,87900
2021/5/18,85400,87800,85400,87500,1140,87500
2021/5/17,85100,86300,84800,85400,879,85400
2021/5/14,84900,86300,84000,84000,1479,84000
2021/5/13,85400,86000,84000,84000,1762,84000
2021/5/12,88000,88000,85300,86500,1659,86500
2021/5/11,87400,88100,86300,87900,1994,87900
2021/5/10,86000,87400,86000,87400,1164,87400
2021/5/7,86300,86700,85800,86400,791,86400
2021/5/6,86000,86800,85600,86500,1086,86500
2021/4/30,85200,85800,84700,85700,953,85700
2021/4/28,85400,85600,84400,85100,807,85100
2021/4/27,84700,85700,84600,85100,870,85100
2021/4/26,83400,84800,83400,84200,833,84200
2021/4/23,82300,83500,82100,83400,733,83400
2021/4/22,82600,83500,82500,82800,648,82800
2021/4/21,83500,83500,82200,82600,1236,82600
2021/4/20,83700,84600,83400,84000,1205,84000
2021/4/19,84900,85700,84000,84000,1316,84000
2021/4/16,84200,85500,83800,84100,726,84100
2021/4/15,86300,86300,84200,84200,1566,84200
2021/4/14,86300,87500,85200,85700,1493,85700
2021/4/13,86400,86800,85500,85500,979,85500
2021/4/12,86700,87000,85400,85600,777,85600
2021/4/9,86000,87600,84900,85500,2219,85500
2021/4/8,86700,86700,84900,85000,1533,85000
2021/4/7,85500,86700,85300,86400,1209,86400
2021/4/6,87300,87300,84900,85300,1366,85300
2021/4/5,85000,88400,83400,85800,2852,85800
2021/4/2,83400,84500,83000,83800,813,83800
2021/4/1,84600,84600,81400,82700,2648,82700
2021/3/31,83800,86300,83300,84600,2200,84600
2021/3/30,84000,85000,82900,83800,2506,83800
2021/3/29,86800,86800,83600,84000,2196,84000
2021/3/26,84300,86200,84300,85400,2766,85400
2021/3/25,84200,86200,83800,84700,1290,84700
2021/3/24,86100,86400,84000,84500,2263,84500
2021/3/23,89600,89600,86600,86800,1233,86800
2021/3/22,89000,90000,88000,88700,1394,88700
2021/3/19,88000,90300,87700,89400,1920,89400
2021/3/18,87900,89600,87100,88600,1434,88600
2021/3/17,87700,88800,85200,88000,1791,88000
2021/3/16,85300,87600,84400,87600,2023,87600
2021/3/15,86300,86700,84100,85300,1385,85300
2021/3/12,85000,85600,83200,85600,1962,85600
2021/3/11,83400,84500,82200,84500,844,84500
2021/3/10,84600,84600,83100,83400,1139,83400
2021/3/9,84100,86300,83800,84400,2263,84400
2021/3/8,85500,86300,83400,83800,1548,83800
2021/3/5,84200,84200,80000,84000,3789,84000
2021/3/4,86700,88400,84700,85700,2148,85700
2021/3/3,86300,88600,86100,88400,1812,88400
2021/3/2,90000,91500,86100,86700,2822,86700
2021/3/1,92200,92900,89300,89400,2305,89400
2021/2/26,92000,92900,89300,91000,5222,91000
2021/2/25,92100,94800,91700,94400,3027,94400
2021/2/24,88300,91500,88000,91100,5567,91100
2021/2/22,84900,87700,84900,86800,1859,86800
2021/2/19,82700,84700,81200,83900,1584,83900
2021/2/18,88000,88600,83500,83500,4007,83500
2021/2/17,87000,89200,86500,87800,4488,87800
2021/2/16,84800,87600,84800,85500,3496,85500
2021/2/15,81600,84100,81000,84000,3202,84000
2021/2/12,79200,80800,78800,80100,2228,80100
2021/2/10,76000,78600,75600,78400,2319,78400
2021/2/9,75800,76600,74900,76300,2380,76300
2021/2/8,74300,77200,74300,75800,2145,75800
2021/2/5,71500,74300,71500,73800,2288,73800
2021/2/4,70800,72000,70700,71000,1233,71000
2021/2/3,69300,70900,68800,70200,1605,70200
2021/2/2,69700,69700,68700,68700,989,68700
2021/2/1,69000,70000,68200,68900,823,68900
2021/1/29,69300,70100,68600,68900,848,68900
2021/1/28,68000,69300,68000,69300,1114,69300
2021/1/27,68500,69000,68000,69000,1115,69000
2021/1/26,69200,70400,68100,68400,1520,68400
2021/1/25,69000,69500,68200,68400,1145,68400
2021/1/22,69000,70600,68600,69100,1779,69100
2021/1/21,69100,69500,68600,68600,788,68600
2021/1/20,68600,69400,68400,68700,704,68700
2021/1/19,68500,69400,68500,68500,926,68500
2021/1/18,67500,68100,67200,68100,512,68100
2021/1/15,67400,67900,66900,67500,937,67500
2021/1/14,67500,67900,67200,67400,679,67400
2021/1/13,68600,68600,67500,67500,974,67500
2021/1/12,68000,69000,67800,68300,953,68300
2021/1/8,67000,68400,67000,68200,1098,68200
2021/1/7,68000,68600,67200,67200,781,67200
2021/1/6,67400,69400,67400,67400,1380,67400
2021/1/5,66900,68400,66900,68400,1138,68400
2021/1/4,68500,68900,67000,67000,1209,67000
2020/12/30,67300,69500,66800,69000,1262,69000
2020/12/29,66000,68200,65800,67500,1752,67500
2020/12/28,66800,66800,65000,65800,2479,65800
2020/12/25,67100,68200,66800,66800,1335,66800
2020/12/24,67500,68400,66800,67300,1486,67300
2020/12/23,67600,67900,66500,66500,1527,66500
2020/12/22,68200,68700,67500,67800,929,67800
2020/12/21,68100,69000,67800,68900,1075,68900
