日付,始値,高値,安値,終値,出来高,調整後終値
2022/10/5,255200,256600,251900,251900,669,251900
2022/10/4,254700,258700,253700,256700,477,256700
2022/10/3,252700,258000,249900,254800,810,254800
2022/9/30,251000,254500,246900,252600,1423,252600
2022/9/29,257500,260500,253100,254500,675,254500
2022/9/28,258000,259900,246000,254300,880,254300
2022/9/27,261100,264100,259500,260200,860,260200
2022/9/26,261400,262300,260400,261700,387,261700
2022/9/22,262600,263900,260600,262600,269,262600
2022/9/21,262000,263900,261400,262600,323,262600
2022/9/20,264000,265000,260600,261800,355,261800
2022/9/16,261800,265000,260300,264900,604,264900
2022/9/15,262100,262100,259500,261800,318,261800
2022/9/14,261000,261000,257900,259900,300,259900
2022/9/13,261400,261900,259300,261600,301,261600
2022/9/12,260000,261900,258200,260800,287,260800
2022/9/9,259200,260900,257900,260900,590,260900
2022/9/8,257100,258700,256200,257400,245,257400
2022/9/7,257900,258100,255300,256300,249,256300
2022/9/6,256400,257400,255300,256100,152,256100
2022/9/5,255300,258400,254000,256900,367,256900
2022/9/2,256700,258000,255300,255300,262,255300
2022/9/1,256600,257600,252400,257600,534,257600
2022/8/31,257000,257700,252300,256400,727,256400
2022/8/30,254000,256400,253700,256200,406,256200
2022/8/29,253500,256100,252500,254000,444,254000
2022/8/26,251700,254900,250600,254600,397,254600
2022/8/25,252200,252700,250500,252000,305,252000
2022/8/24,252700,254500,248800,250500,452,250500
2022/8/23,252200,255400,252000,252700,462,252700
2022/8/22,251900,254000,250200,252800,424,252800
2022/8/19,252100,256100,251800,253500,401,253500
2022/8/18,250900,252800,249200,252600,272,252600
2022/8/17,253200,253200,250900,250900,191,250900
2022/8/16,253800,253800,250400,253200,283,253200
2022/8/15,248500,253800,248000,253800,428,253800
2022/8/12,249800,250700,247500,248000,271,248000
2022/8/10,248100,250000,245800,247700,601,247700
2022/8/9,250400,251200,247300,248500,739,248500
2022/8/8,250400,251300,248600,251300,510,251300
2022/8/5,254800,255000,251000,252700,452,252700
2022/8/4,257500,257500,254300,254800,387,254800
2022/8/3,256200,258200,255300,257500,442,257500
2022/8/2,260800,260800,254100,255900,287,255900
2022/8/1,257900,261600,254300,261300,985,261300
2022/7/29,255500,257900,252900,257900,864,257900
2022/7/28,254800,257500,252100,256800,558,256800
2022/7/27,253300,256900,251500,254800,546,254800
2022/7/26,255300,255900,251100,253300,363,253300
2022/7/25,257000,257200,254000,255300,387,255300
2022/7/22,253400,257500,252500,257500,806,257500
2022/7/21,250900,253400,250400,252200,406,252200
2022/7/20,252600,252600,247700,252100,674,252100
2022/7/19,250200,252900,250200,251200,676,251200
2022/7/15,248000,250500,245300,249700,700,249700
2022/7/14,246900,248500,244000,248000,411,248000
2022/7/13,244200,248600,243100,247400,410,247400
2022/7/12,244000,245500,241100,244700,541,244700
2022/7/11,239200,244900,239200,244600,426,244600
2022/7/8,242200,242200,238200,238800,251,238800
2022/7/7,238000,242500,238000,242200,255,242200
2022/7/6,242100,242300,237400,238200,364,238200
2022/7/5,240500,243000,239300,242900,349,242900
2022/7/4,241000,242300,238300,240500,331,240500
2022/7/1,241500,242400,238100,239600,301,239600
2022/6/30,242800,242800,240500,241800,457,241800
2022/6/29,239500,243600,238200,243300,511,243300
2022/6/28,234700,239700,234700,238900,646,238900
2022/6/27,231200,236100,231200,235400,273,235400
2022/6/24,233000,233000,229400,231700,418,231700
2022/6/23,230100,234700,230100,233400,734,233400
2022/6/22,238400,238400,229500,230600,682,230600
2022/6/21,231800,235800,231800,235100,435,235100
2022/6/20,229900,232900,228900,231900,762,231900
2022/6/17,234300,234900,227900,227900,986,227900
2022/6/16,231700,238600,231700,234700,604,234700
2022/6/15,237300,240500,228600,230200,844,230200
2022/6/14,244100,244900,236100,238500,616,238500
2022/6/13,245900,246200,244100,244800,323,244800
2022/6/10,248500,249000,246300,246800,549,246800
2022/6/9,247300,248400,246700,247800,274,247800
2022/6/8,246200,248500,246200,247300,346,247300
2022/6/7,246900,247400,245600,247100,373,247100
2022/6/6,244900,246900,244700,246300,549,246300
2022/6/3,247000,248500,244300,244900,893,244900
2022/6/2,241300,247000,241200,247000,757,247000
2022/6/1,242000,244500,240100,243300,603,243300
2022/5/31,243700,243700,239400,243000,822,243000
2022/5/30,240900,244200,240400,244200,450,244200
2022/5/27,238300,240800,236300,237600,724,237600
2022/5/26,239000,240900,238100,238100,397,238100
2022/5/25,236800,241500,236500,240500,372,240500
2022/5/24,239700,239900,236500,236500,263,236500
2022/5/23,238800,240400,237400,237800,355,237800
2022/5/20,237700,240300,237700,238800,297,238800
2022/5/19,239900,241000,237600,237600,213,237600
2022/5/18,238800,240300,237600,239900,306,239900
2022/5/17,235700,238900,235200,238800,262,238800
2022/5/16,236800,238600,234500,235900,417,235900
2022/5/13,234100,237800,232700,236300,510,236300
2022/5/12,235100,236900,233100,234100,349,234100
2022/5/11,235300,239600,233000,235300,904,235300
2022/5/10,238100,238500,235200,235600,703,235600
2022/5/9,238200,241200,236800,238100,856,238100
2022/5/6,239100,239100,236200,237900,703,237900
2022/5/2,237500,239100,236000,239100,1024,239100
