日付,始値,高値,安値,終値,出来高,調整後終値
2022/10/5,152900,152900,148500,149300,1479,149300
2022/10/4,151100,152000,150600,152000,849,152000
2022/10/3,151000,152500,148900,150100,947,150100
2022/9/30,148800,151300,146400,150800,1862,150800
2022/9/29,149800,152200,148600,149100,1702,149100
2022/9/28,149400,150300,145600,147400,2618,147400
2022/9/27,153100,153100,149500,149800,2344,149800
2022/9/26,154500,154500,151200,151800,1409,151800
2022/9/22,153800,155500,152900,154900,894,154900
2022/9/21,154600,156000,154100,154900,1240,154900
2022/9/20,156400,156400,154000,154500,996,154500
2022/9/16,155200,156500,154300,155500,1808,155500
2022/9/15,157500,157500,154300,155200,1371,155200
2022/9/14,157900,158200,156600,157200,867,157200
2022/9/13,156800,158100,156400,157800,962,157800
2022/9/12,157900,157900,156400,156800,564,156800
2022/9/9,154500,156800,154500,156500,1494,156500
2022/9/8,155500,155500,154400,154800,1317,154800
2022/9/7,155000,156100,154600,155600,934,155600
2022/9/6,156600,156800,154600,155100,885,155100
2022/9/5,154400,156900,154300,156100,789,156100
2022/9/2,157700,157700,155600,155600,814,155600
2022/9/1,156500,157500,155800,156000,1402,156000
2022/8/31,158800,159500,156900,157800,2499,157800
2022/8/30,155700,159200,155300,158700,1025,158700
2022/8/29,155000,155800,154100,155800,1683,155800
2022/8/26,155900,156800,155400,156000,592,156000
2022/8/25,155900,156200,155300,155400,527,155400
2022/8/24,156300,157200,154200,154700,1098,154700
2022/8/23,156700,157400,155500,156000,1039,156000
2022/8/22,155800,156900,154700,156700,775,156700
2022/8/19,156700,156700,154900,155800,784,155800
2022/8/18,156000,156100,154600,155300,1101,155300
2022/8/17,156800,157000,156200,156200,613,156200
2022/8/16,155500,156700,154700,156700,1258,156700
2022/8/15,154900,155200,153700,155100,748,155100
2022/8/12,153700,154700,153500,153500,847,153500
2022/8/10,155400,155400,153300,153600,946,153600
2022/8/9,154000,155700,154000,154900,901,154900
2022/8/8,155300,155300,153600,154500,417,154500
2022/8/5,154700,155800,154200,154600,868,154600
2022/8/4,154500,155200,153700,154300,865,154300
2022/8/3,153000,154100,151900,153600,1001,153600
2022/8/2,155000,155300,152100,152500,1359,152500
2022/8/1,154300,154800,153400,154300,1348,154300
2022/7/29,153200,154000,151700,153800,2448,153800
2022/7/28,151500,152100,150900,152100,3090,152100
2022/7/27,150800,152400,150700,151400,1702,151400
2022/7/26,154000,154600,149700,151100,3130,151100
2022/7/25,154000,154700,153300,154000,1091,154000
2022/7/22,153500,153600,151900,153000,1133,153000
2022/7/21,152400,154100,151500,153300,1758,153300
2022/7/20,150900,151700,148200,150700,1241,150700
2022/7/19,152100,153800,150600,150600,1475,150600
2022/7/15,150800,151700,150100,150800,1376,150800
2022/7/14,148300,150100,147700,150000,387,150000
2022/7/13,150500,150500,148100,148600,751,148600
2022/7/12,151400,151400,149100,150100,796,150100
2022/7/11,151200,151500,150300,150800,1213,150800
2022/7/8,148600,151200,147600,150200,2369,150200
2022/7/7,145400,148100,145400,147600,1207,147600
2022/7/6,146700,147600,145100,145400,920,145400
2022/7/5,145000,147200,145000,146400,964,146400
2022/7/4,143900,145200,143300,145200,1133,145200
2022/7/1,144000,144800,142500,143400,1082,143400
2022/6/30,146700,147400,144400,144800,1311,144800
2022/6/29,144200,146900,143900,146000,1339,146000
2022/6/28,142000,145000,141700,144700,1925,144700
2022/6/27,140000,142200,140000,141700,894,141700
2022/6/24,138900,140300,138000,139900,1260,139900
2022/6/23,137600,140900,137600,138900,1929,138900
2022/6/22,140500,140500,137600,137700,3282,137700
2022/6/21,140700,140700,138000,139000,1600,139000
2022/6/20,141400,141800,138000,138900,1289,138900
2022/6/17,142800,142800,139400,141400,2419,141400
2022/6/16,142500,146300,142500,143300,2106,143300
2022/6/15,149600,149600,140600,141800,4646,141800
2022/6/14,150500,151500,147300,148000,2347,148000
2022/6/13,152000,152200,150400,150400,1451,150400
2022/6/10,153800,154300,152400,152400,2095,152400
2022/6/9,154600,154900,153200,154700,1222,154700
2022/6/8,154500,155300,153800,155000,1008,155000
2022/6/7,155300,155300,153400,154300,854,154300
2022/6/6,156000,156200,153500,154400,1571,154400
2022/6/3,153500,155000,153500,154700,1437,154700
2022/6/2,153900,154300,152600,153400,1709,153400
2022/6/1,153200,154200,152100,153200,2662,153200
2022/5/31,155600,155800,153200,154000,2510,154000
2022/5/30,156800,157000,154800,156800,996,156800
2022/5/27,156400,158600,155100,157700,3655,157700
2022/5/26,158200,158200,156300,156300,1504,156300
2022/5/25,157000,158800,156600,158200,1497,158200
2022/5/24,156500,157400,155500,156800,1732,156800
2022/5/23,156400,156900,155600,155900,1508,155900
2022/5/20,156000,156300,154700,155700,1203,155700
2022/5/19,154300,155700,154100,154500,1011,154500
2022/5/18,156000,156000,154400,155300,1079,155300
2022/5/17,153400,155500,153200,155300,843,155300
2022/5/16,155600,155700,151800,152800,1407,152800
2022/5/13,153000,154800,152300,153600,1350,153600
2022/5/12,150500,153000,150100,151500,2164,151500
2022/5/11,153000,155900,152700,153200,2427,153200
2022/5/10,156100,156300,152900,153000,2767,153000
2022/5/9,158200,158800,156100,156400,2518,156400
2022/5/6,159000,160200,158300,158800,1912,158800
2022/5/2,159700,160900,157700,159600,1642,159600
2022/4/28,158800,160800,157500,158000,2159,158000
2022/4/27,156100,159300,155500,158100,961,158100
2022/4/26,158500,159000,155600,156500,2308,156500
2022/4/25,155200,155900,153500,155100,954,155100
2022/4/22,154800,156400,153600,155300,766,155300
2022/4/21,153700,155500,153700,154100,905,154100
2022/4/20,153000,153900,151100,153600,1664,153600
2022/4/19,152200,153500,151500,152900,1784,152900
2022/4/18,155600,155600,153000,153500,619,153500
2022/4/15,156500,156800,154300,154600,648,154600
2022/4/14,156800,157400,154800,156900,1423,156900
2022/4/13,154800,156200,154000,156200,1971,156200
2022/4/12,155600,156300,154300,154300,1638,154300
2022/4/11,155600,157400,154500,154800,1029,154800
2022/4/8,155800,159200,155100,155600,3953,155600
2022/4/7,161700,161700,157400,157500,2449,157500
2022/4/6,161100,161900,159300,161100,1656,161100
2022/4/5,162000,162000,159400,161000,1653,161000
2022/4/4,164700,164700,157300,161000,2861,161000
2022/4/1,159800,160900,157700,160700,3064,160700
2022/3/31,161100,162400,158500,160700,1820,160700
2022/3/30,164900,164900,157100,159500,1891,159500
2022/3/29,160700,163900,160600,163800,2975,163800
2022/3/28,158500,160800,157900,160800,1229,160800
2022/3/25,159200,160500,158200,158200,1390,158200
2022/3/24,160000,161600,156700,161300,2094,161300
2022/3/23,159900,159900,157300,159900,1426,159900
2022/3/22,154900,159900,153600,159500,2699,159500
2022/3/18,154900,158200,154600,155100,4491,155100
2022/3/17,152700,154000,151300,152800,1179,152800
2022/3/16,150700,152000,147800,151000,1697,151000
2022/3/15,151000,151200,148700,150000,1849,150000
2022/3/14,150500,152500,150400,150400,1213,150400
2022/3/11,154900,155200,150100,150600,2495,150600
2022/3/10,149800,152200,148900,150900,1505,150900
2022/3/9,150300,151800,147100,147700,2127,147700
2022/3/8,152500,152900,150100,150400,1906,150400
2022/3/7,153000,154500,150900,152500,2379,152500
2022/3/4,152900,152900,149700,151500,1231,151500
2022/3/3,150600,152500,149800,151400,1250,151400
2022/3/2,149800,150700,147600,150000,2496,150000
2022/3/1,147700,149700,147100,149100,2377,149100
2022/2/28,144900,147600,144600,147500,2065,147500
2022/2/25,144500,147100,144500,146000,2453,146000
2022/2/24,145000,148700,145000,147500,4111,147500
2022/2/22,147000,147600,143500,144600,1774,144600
2022/2/21,147100,148800,147000,147800,785,147800
2022/2/18,149800,149800,146000,147500,1868,147500
2022/2/17,148200,149800,146500,149800,1770,149800
2022/2/16,145900,148300,145700,148200,2084,148200
2022/2/15,150100,151500,146100,146300,2885,146300
2022/2/14,152300,153000,148600,149300,2017,149300
2022/2/10,153000,153000,149700,152300,2838,152300
2022/2/9,149300,154000,148200,151500,3487,151500
2022/2/8,154700,154700,150000,150200,1523,150200
2022/2/7,159000,159000,153800,154900,2266,154900
2022/2/4,158500,159700,157200,159300,2165,159300
2022/2/3,156200,158700,155500,158500,1729,158500
2022/2/2,157300,159300,157000,157500,1615,157500
2022/2/1,162200,162200,156200,157500,3096,157500
2022/1/31,160800,162800,159900,160000,2296,160000
2022/1/28,158200,159700,155800,158500,2697,158500
2022/1/27,155000,158600,152500,158600,3487,158600
2022/1/26,154100,156900,153900,155400,2982,155400
2022/1/25,152900,154900,152000,154100,4393,154100
2022/1/24,151800,154400,149800,153300,3373,153300
2022/1/21,145900,153600,143600,152700,4775,152700
2022/1/20,152400,153800,147000,147500,6986,147500
2022/1/19,158800,158800,152000,152400,3574,152400
2022/1/18,159800,160100,157300,157600,1800,157600
2022/1/17,160600,161900,159100,160100,1780,160100
2022/1/14,161600,162500,159400,159800,2047,159800
2022/1/13,162600,164600,161200,161400,2532,161400
2022/1/12,167700,168000,162300,162700,1858,162700
2022/1/11,168800,169800,166500,167500,1501,167500
2022/1/7,169700,171400,168800,169100,1561,169100
2022/1/6,170000,170800,169000,170100,1603,170100
2022/1/5,173800,174400,169800,169800,2681,169800
2022/1/4,176000,176900,173800,173800,1527,173800
2021/12/30,175700,176700,174000,176000,1807,176000
2021/12/29,173900,175400,172600,174900,1159,174900
2021/12/28,171700,173800,170000,173300,1999,173300
2021/12/27,171700,171800,170400,171400,960,171400
2021/12/24,174000,174000,171100,171700,2125,171700
2021/12/23,173500,176800,172900,174000,3282,174000
2021/12/22,172000,172300,170500,172000,1776,172000
2021/12/21,167000,170900,166400,170000,2943,170000
2021/12/20,168300,168900,166600,167200,2450,167200
2021/12/17,163000,169900,162500,169900,5276,169900
2021/12/16,162900,163900,161500,163400,3214,163400
2021/12/15,164000,164100,161600,162500,2515,162500
2021/12/14,161700,164500,161600,164500,3711,164500
2021/12/13,169000,169300,164000,164700,1904,164700
2021/12/10,167800,169500,166700,169000,3678,169000
2021/12/9,165600,169700,164700,169100,4661,169100
2021/12/8,161900,165600,161800,165600,2993,165600
2021/12/7,163300,164800,160500,161900,4982,161900
2021/12/6,164200,166700,162300,162300,3431,162300
2021/12/3,163400,165100,162800,163900,6856,163900
2021/12/2,162000,164700,161200,161200,19352,161200
2021/12/1,161000,163300,158200,162200,24176,162200
2021/11/30,160500,163400,159900,160000,8579,160000
2021/11/29,164000,167300,161900,163500,7425,163500
2021/11/26,165900,167300,163400,167100,14054,167100
2021/11/25,167500,169000,165400,165900,9874,165900
2021/11/24,163300,167900,163300,167500,6404,167500
2021/11/22,162600,167100,161800,165200,7802,165200
2021/11/19,162500,163300,159900,162400,7292,162400
2021/11/18,169300,169300,161200,163300,8085,163300
2021/11/17,168200,170300,166000,166000,4996,166000
2021/11/16,169400,171100,169000,171100,1148,171100
2021/11/15,168200,170100,167500,169400,1768,169400
2021/11/12,167600,169300,166400,166900,2239,166900
2021/11/11,169600,170900,168300,169000,1312,169000
2021/11/10,171400,172000,169200,170400,2109,170400
2021/11/9,172200,172900,170900,171800,2061,171800
2021/11/8,172700,173400,171100,173200,1978,173200
2021/11/5,169500,172000,169100,172000,1269,172000
2021/11/4,171900,171900,168600,169500,1850,169500
2021/11/2,169700,171200,168400,169600,1715,169600
2021/11/1,171900,172800,169700,169700,1584,169700
2021/10/29,169900,171800,168800,171400,3301,171400
2021/10/28,168500,169000,166100,169000,1674,169000
2021/10/27,167100,169000,167100,168500,1281,168500
2021/10/26,168200,169100,166000,167400,1483,167400
2021/10/25,170200,170200,168100,168300,1287,168300
2021/10/22,168800,169800,167100,169000,2593,169000
2021/10/21,168700,169200,167000,168200,1093,168200
2021/10/20,169800,169800,167000,168700,1055,168700
2021/10/19,168400,169700,166900,169300,1812,169300
2021/10/18,167500,169000,165200,168500,2069,168500
2021/10/15,165700,167900,165500,167400,2453,167400
2021/10/14,164300,166400,163700,165100,2990,165100
2021/10/13,161000,166000,161000,165900,2967,165900
2021/10/12,164000,164600,161600,162600,1910,162600
2021/10/11,157000,161400,155000,161400,2604,161400
2021/10/8,162900,163600,160300,161000,2470,161000
2021/10/7,161600,164600,159400,163500,3205,163500
2021/10/6,160700,162300,159400,161600,3355,161600
2021/10/5,159000,160300,153600,159600,3093,159600
2021/10/4,165500,165500,161400,162200,2479,162200
2021/10/1,167100,167100,161600,161700,2689,161700
2021/9/30,166600,168200,165600,165900,2926,165900
2021/9/29,168700,168700,165500,167100,3545,167100
2021/9/28,169200,170800,167800,169800,3369,169800
2021/9/27,173100,173400,169100,170400,3692,170400
2021/9/24,173500,173800,170600,173100,3263,173100
2021/9/22,175800,176100,172300,173600,5098,173600
2021/9/21,173800,176500,172200,172900,2838,172900
2021/9/17,175000,176300,173900,175800,30348,175800
2021/9/16,175700,177500,174500,175700,5779,175700
2021/9/15,175000,178600,175000,176700,4631,176700
2021/9/14,177500,178800,175100,177700,4151,177700
