日付,始値,高値,安値,終値,出来高,調整後終値
2022/1/28,137600,139200,136600,139200,2581,139200
2022/1/27,136000,138400,134300,138400,4836,138400
2022/1/26,134300,136200,133300,135900,2955,135900
2022/1/25,135700,135700,132600,133500,2932,133500
2022/1/24,134400,135800,132400,135000,3382,135000
2022/1/21,130600,134400,128200,133900,5906,133900
2022/1/20,136200,137500,132200,132300,7984,132300
2022/1/19,141400,141400,135900,136200,4993,136200
2022/1/18,142300,142700,141000,141000,1377,141000
2022/1/17,143000,143500,142100,142500,1015,142500
2022/1/14,143200,143900,142700,142700,1956,142700
2022/1/13,142400,143000,142100,142800,1215,142800
2022/1/12,141800,142900,141800,142300,1537,142300
2022/1/11,141600,142600,141100,142200,1571,142200
2022/1/7,142000,143400,141300,141500,2131,141500
2022/1/6,143100,143700,141600,141900,1926,141900
2022/1/5,146200,146400,143000,143100,2887,143100
2022/1/4,144800,146200,143900,145500,1978,145500
2021/12/30,144900,145300,144600,144800,1513,144800
2021/12/29,142300,145300,142100,145300,2840,145300
2021/12/28,141900,142300,140800,141900,2195,141900
2021/12/27,143000,143000,141100,141600,1839,141600
2021/12/24,143000,143300,142100,142900,1559,142900
2021/12/23,141800,142900,141800,142900,1528,142900
2021/12/22,142800,143100,141500,141800,2797,141800
2021/12/21,143800,144500,142600,142900,2262,142900
2021/12/20,146000,146500,143200,143200,2324,143200
2021/12/17,144400,147600,143900,147200,5051,147200
2021/12/16,144600,144900,144200,144600,1439,144600
2021/12/15,143500,144200,142800,144200,1185,144200
2021/12/14,144600,144700,143000,144000,2143,144000
2021/12/13,146100,146300,144400,144700,1997,144700
2021/12/10,146700,146700,144500,146200,4281,146200
2021/12/9,145600,146000,144300,145700,2957,145700
2021/12/8,145000,145500,144200,145500,2169,145500
2021/12/7,143800,144900,143800,144900,1968,144900
2021/12/6,142600,144700,142600,143700,2318,143700
2021/12/3,142500,143900,141800,143200,3061,143200
2021/12/2,142600,144200,141400,141400,3263,141400
2021/12/1,141700,144300,141400,142700,4275,142700
2021/11/30,142000,145600,141100,141600,5372,141600
2021/11/29,144000,144000,140900,141600,4825,141600
2021/11/26,145200,145200,143000,144800,2430,144800
2021/11/25,145900,146300,144700,144700,1393,144700
2021/11/24,144000,145900,143300,145900,2161,145900
2021/11/22,142000,144400,142000,144000,1758,144000
2021/11/19,144600,145000,142200,142800,2921,142800
2021/11/18,146300,146600,145100,145600,1372,145600
2021/11/17,146200,146600,145600,146300,1264,146300
2021/11/16,145500,146200,145300,146200,1134,146200
2021/11/15,145400,146100,144800,145400,1381,145400
2021/11/12,146000,147000,145700,145700,1314,145700
2021/11/11,146800,147600,145900,146400,1072,146400
2021/11/10,146600,147000,145700,146200,1232,146200
2021/11/9,148700,148700,146600,146600,1388,146600
2021/11/8,147400,148500,146700,148400,1976,148400
2021/11/5,148000,148100,146400,147200,1086,147200
2021/11/4,146900,148000,146500,147300,1782,147300
2021/11/2,146700,147000,145800,146100,1312,146100
2021/11/1,147300,147400,145700,146000,1089,146000
2021/10/29,147200,147800,145900,147100,2483,147100
2021/10/28,147000,147500,146300,147400,1239,147400
2021/10/27,146200,147600,145700,147600,1736,147600
2021/10/26,146500,146700,145300,145800,1223,145800
2021/10/25,145600,147000,145500,145500,1245,145500
2021/10/22,147500,147800,146000,146000,1375,146000
2021/10/21,148000,148700,147500,147800,1060,147800
2021/10/20,148200,148200,147000,148000,2212,148000
2021/10/19,149700,149800,147100,148500,2632,148500
2021/10/18,147700,149500,146800,149300,3400,149300
2021/10/15,147700,148000,146600,147900,1680,147900
2021/10/14,148200,148600,146300,146500,3008,146500
2021/10/13,146200,147700,145500,147500,2896,147500
2021/10/12,146500,147000,145200,145800,1758,145800
2021/10/11,145200,145900,144100,145800,2602,145800
2021/10/8,146500,147600,145200,145200,3394,145200
2021/10/7,145600,146500,144300,145900,3617,145900
2021/10/6,145400,145900,142400,144400,3622,144400
2021/10/5,144600,146200,142600,145200,4636,145200
