日付,始値,高値,安値,終値,出来高,調整後終値
2021/9/22,135800,137100,133700,134000,845,134000
2021/9/21,135200,136700,134300,136300,534,136300
2021/9/17,134900,137500,133800,137500,788,137500
2021/9/16,135200,135500,134100,134900,394,134900
2021/9/15,135700,136100,134200,134700,801,134700
2021/9/14,135800,136100,135000,135700,434,135700
2021/9/13,134600,135900,134600,135800,266,135800
2021/9/10,135000,136100,134500,134500,854,134500
2021/9/9,134500,135200,134300,135200,375,135200
2021/9/8,135200,135300,134200,134900,567,134900
2021/9/7,135800,136200,134600,135200,499,135200
2021/9/6,135200,135900,134300,135200,511,135200
2021/9/3,132800,134900,132500,133600,441,133600
2021/9/2,132300,133700,132200,133000,376,133000
2021/9/1,133700,134400,132000,132100,1569,132100
2021/8/31,137400,137400,133100,134500,2072,134500
2021/8/30,136900,138500,135800,138500,2060,138500
2021/8/27,134800,137900,133700,137900,1835,137900
2021/8/26,132500,135300,132500,135300,1096,135300
2021/8/25,132500,133900,131200,132500,757,132500
2021/8/24,128100,132600,127800,130800,1820,130800
2021/8/23,128700,130800,125100,125100,1247,125100
2021/8/20,131300,132200,129100,129400,774,129400
2021/8/19,133000,134400,131100,131300,603,131300
2021/8/18,131100,134500,130600,133900,805,133900
2021/8/17,132000,132400,131600,131600,630,131600
2021/8/16,133400,134000,132200,132200,284,132200
2021/8/13,135800,135800,133400,133400,328,133400
2021/8/12,133700,135800,133700,135800,429,135800
2021/8/11,132900,134600,132900,133700,318,133700
2021/8/10,132900,134200,132600,132600,483,132600
2021/8/6,134700,135100,132700,132900,761,132900
2021/8/5,133300,135500,133100,134700,716,134700
2021/8/4,134600,135200,132300,132500,1770,132500
2021/8/3,135600,138000,134200,134200,1233,134200
2021/8/2,136500,138100,133800,135000,2158,135000
2021/7/30,140300,140300,136100,136500,1231,136500
2021/7/29,137900,140900,136200,140900,5481,140900
2021/7/28,138300,139600,137400,138500,586,138500
2021/7/27,138800,139200,137200,137900,513,137900
2021/7/26,139500,140000,138500,139000,523,139000
2021/7/21,139400,140500,137900,137900,454,137900
2021/7/20,137400,138900,137200,137900,552,137900
2021/7/19,140900,141400,138400,138800,506,138800
2021/7/16,140700,142500,140600,141500,480,141500
2021/7/15,140300,142000,140300,140800,554,140800
2021/7/14,139600,141500,139500,140700,854,140700
2021/7/13,141200,141200,139300,139400,1043,139400
2021/7/12,142500,142500,140800,140800,754,140800
2021/7/9,141300,143200,139900,142500,1107,142500
2021/7/8,140800,142700,139600,142100,1104,142100
2021/7/7,140900,141700,140400,140800,750,140800
2021/7/6,140300,142000,140100,140900,797,140900
2021/7/5,140400,141300,139900,140800,494,140800
2021/7/2,139400,142100,139400,140900,792,140900
2021/7/1,141500,141500,139000,139200,785,139200
2021/6/30,141400,141600,139300,140700,1010,140700
2021/6/29,140700,141700,139000,141700,572,141700
2021/6/28,139100,141300,139100,140900,794,140900
2021/6/25,139200,139600,138600,138900,537,138900
2021/6/24,138000,140900,138000,139200,817,139200
2021/6/23,139200,140500,137300,137500,622,137500
2021/6/22,139000,141700,138500,139200,903,139200
2021/6/21,138000,139400,137500,138600,563,138600
2021/6/18,139700,140800,138200,138800,2999,138800
2021/6/17,140600,141700,138500,138500,685,138500
2021/6/16,140700,141700,140100,141200,548,141200
2021/6/15,142900,143300,140300,140700,507,140700
2021/6/14,143400,144000,141800,142000,840,142000
2021/6/11,142500,144500,142500,143300,1774,143300
2021/6/10,142100,144000,141300,143700,1346,143700
2021/6/9,142600,143500,141900,142600,2322,142600
2021/6/8,139800,142900,139700,142500,1082,142500
2021/6/7,137100,140000,137100,139800,1037,139800
2021/6/4,136200,137100,134600,137100,720,137100
2021/6/3,135500,136900,135300,136200,1199,136200
2021/6/2,134400,136400,134300,135500,867,135500
2021/6/1,133700,134100,133300,133700,312,133700
2021/5/31,134500,134700,133500,134300,320,134300
2021/5/28,133400,134900,133400,134900,505,134900
2021/5/27,134200,134900,132300,133400,1479,133400
2021/5/26,135900,136300,133600,134200,850,134200
2021/5/25,137800,138300,135800,135900,732,135900
2021/5/24,135900,137800,135400,137800,633,137800
2021/5/21,134400,136100,134400,135100,854,135100
2021/5/20,133400,134800,132700,134400,873,134400
2021/5/19,133300,134700,132400,134100,678,134100
2021/5/18,131900,134400,130900,134200,567,134200
2021/5/17,130500,132400,129800,129900,982,129900
2021/5/14,132000,134700,127300,127300,1126,127300
2021/5/13,133000,133800,130800,131500,546,131500
2021/5/12,134000,135200,132900,133900,631,133900
2021/5/11,132900,134800,132700,134000,792,134000
2021/5/10,135300,135300,132500,132600,595,132600
2021/5/7,136200,136200,134100,134800,407,134800
2021/5/6,135500,138200,135000,135200,930,135200
2021/4/30,135700,136900,135200,136500,1452,136500
2021/4/28,133600,135800,133600,135000,839,135000
2021/4/27,133900,134800,132500,134100,621,134100
2021/4/26,131800,133700,131700,133200,625,133200
2021/4/23,130600,131900,128900,131900,660,131900
2021/4/22,131200,132400,130200,130600,720,130600
2021/4/21,130900,131500,129300,131200,866,131200
2021/4/20,134200,134700,130500,131600,1497,131600
2021/4/19,134100,135000,133700,134700,831,134700
2021/4/16,133500,135000,132700,134800,900,134800
2021/4/15,134800,135100,133100,133100,682,133100
2021/4/14,136000,136300,134100,134700,812,134700
2021/4/13,136600,137600,135900,136000,465,136000
2021/4/12,135400,137700,135400,137100,735,137100
2021/4/9,135800,136300,134700,135300,470,135300
2021/4/8,136800,136800,134700,134700,542,134700
2021/4/7,136300,137500,135600,136900,653,136900
2021/4/6,136300,136700,135400,136000,648,136000
2021/4/5,135200,137700,133600,136200,1447,136200
2021/4/2,135000,137100,133900,135300,752,135300
2021/4/1,138400,140600,134600,135900,1408,135900
2021/3/31,137900,141000,136400,138300,1486,138300
2021/3/30,135500,138700,135500,137800,677,137800
2021/3/29,137600,137900,135200,136900,840,136900
2021/3/26,134700,137600,134700,137600,531,137600
2021/3/25,132200,135700,131600,134700,761,134700
2021/3/24,135700,136300,132000,132300,1509,132300
2021/3/23,136600,137900,135500,136000,573,136000
2021/3/22,134100,137200,134000,136600,772,136600
2021/3/19,136300,137000,134300,135000,3036,135000
2021/3/18,135900,136900,134300,136500,1012,136500
2021/3/17,134600,137200,133800,134700,1101,134700
2021/3/16,133500,136400,133000,135100,1620,135100
2021/3/15,131700,133600,130000,132400,1200,132400
2021/3/12,132100,133000,129700,132900,1627,132900
2021/3/11,130300,131000,128700,130900,583,130900
2021/3/10,130700,131400,128600,129200,948,129200
2021/3/9,129900,132000,128500,129300,1747,129300
2021/3/8,130100,132100,127600,128800,1040,128800
2021/3/5,132200,132200,129300,131000,1426,131000
2021/3/4,135400,137500,130600,132800,1399,132800
2021/3/3,137000,137000,134000,136200,1413,136200
2021/3/2,134500,137700,134300,137000,2080,137000
2021/3/1,133100,136200,132900,134500,1392,134500
2021/2/26,136700,136800,132400,134600,1587,134600
2021/2/25,133900,137300,130400,137300,1461,137300
2021/2/24,131800,134500,130600,134500,2279,134500
2021/2/22,132000,132400,129200,130200,1168,130200
2021/2/19,131900,133000,130000,130800,1188,130800
2021/2/18,132000,133300,130200,132400,1997,132400
2021/2/17,131400,133300,128500,132600,2193,132600
2021/2/16,129500,132500,129400,132100,1604,132100
