日付,始値,高値,安値,終値,出来高,調整後終値
2021/9/17,91500,91900,90600,91200,4145,91200
2021/9/16,91500,92400,91500,92300,3041,92300
2021/9/15,93300,93500,91700,92000,2338,92000
2021/9/14,92500,93600,92500,93300,3563,93300
2021/9/13,93200,93900,92600,93100,3636,93100
2021/9/10,93900,93900,92600,93400,4137,93400
2021/9/9,94600,94600,93200,93200,2565,93200
2021/9/8,94100,94500,93800,94400,2573,94400
2021/9/7,95000,95500,94200,94300,4100,94300
2021/9/6,96700,96700,95300,95600,2022,95600
2021/9/3,96100,96300,94900,95400,2960,95400
2021/9/2,96100,97300,96000,96800,2833,96800
2021/9/1,96100,96900,95800,95800,3622,95800
2021/8/31,99100,99400,97100,97200,3811,97200
2021/8/30,98100,99200,97800,99100,3737,99100
2021/8/27,96500,98800,96400,98700,4266,98700
2021/8/26,93800,96100,93800,96000,3478,96000
2021/8/25,94500,95200,94100,94500,1958,94500
2021/8/24,94800,96200,94500,94500,3303,94500
2021/8/23,96100,96800,94800,95000,3127,95000
2021/8/20,96400,97300,95600,96400,2053,96400
2021/8/19,96800,98000,96500,96800,2730,96800
2021/8/18,95400,97700,95400,97600,2541,97600
2021/8/17,95600,96300,95100,95400,2046,95400
2021/8/16,95800,96400,95200,96000,2267,96000
2021/8/13,95900,96800,95400,95800,1719,95800
2021/8/12,96300,97200,96100,96500,2171,96500
2021/8/11,96300,97700,96000,96000,2697,96000
2021/8/10,97200,97700,95600,95700,2415,95700
2021/8/6,98600,99300,96500,96600,2795,96600
2021/8/5,98100,100700,97900,99700,4107,99700
2021/8/4,97700,97800,96500,96600,2255,96600
2021/8/3,99000,99300,97800,97900,2679,97900
2021/8/2,99400,99700,98300,98300,3238,98300
2021/7/30,98800,99500,98600,99200,3676,99200
2021/7/29,98500,99300,97800,98700,5903,98700
2021/7/28,97700,99900,97700,99600,3810,99600
2021/7/27,97900,98200,97500,98100,3370,98100
2021/7/26,98000,98200,96900,96900,2987,96900
2021/7/21,97500,98500,96200,96500,3283,96500
2021/7/20,97600,97800,96600,97000,4305,97000
2021/7/19,100300,100500,97300,97900,4693,97900
2021/7/16,100300,100500,99500,99700,2510,99700
2021/7/15,100200,100900,99600,99700,3902,99700
2021/7/14,99900,100600,99600,100000,3761,100000
2021/7/13,100500,100800,99500,99500,3225,99500
2021/7/12,100000,100500,99300,99700,5068,99700
2021/7/9,98400,99400,97500,99300,6680,99300
2021/7/8,99900,100300,99000,99100,3335,99100
